book,chapter,verse,title,commentary
Genesis,,1,"Call and journey to Canaan, 11:27 to 12:9",
Genesis,,2,"Egyptian experience, 12:10–20",
Genesis,,3,"Separation from Lot, 13:1–18",
Genesis,,4,"Rescue a Lot, meeting with Melchizedek, 14:1–24",
Genesis,,5,"Covenant with God, 15:1–21",
Genesis,,6,"Marriage with Hagar, birth of Ishmael, 16:1–16","B. Abraham, 17:1 to 25:18."
Genesis,,1,"Renewal of covenant, Abram becomes Abraham, circumcision introduced, 17:1–27",
Genesis,,2,"Abraham and the angels, destruction of Sodon and its neighboring cities, 18:1 to 19:38",
Genesis,,3,"Experiences at Gerar, birth of Isaac, expulsion of Ishmael, 20:1 to 21:34",
Genesis,,4,"Abraham’s supreme test, 22:1–24",
Genesis,,5,"Sarah’s death and burial, 23:1–20",
Genesis,,6,"Isaac’s marriage to Rebekah, 24:1–67",
Genesis,,7,"Abraham’s descendants, 25:1–18","C. Isaac, 25:19 to 26:35."
Genesis,,1,"Isaac’s sons, 25:19–34",
Genesis,,2,"Isaac and Abimelech of Gerar, 26:1–35","III. The Patriarch Jacob, 27:1 to 36:43. A. Jacob, the supplanter, 27:1 to 31:55."
Genesis,,1,"Jacob receives a blessing by deception, 27:1–46",
Genesis,,2,"Jacob’s flight and the vision at Bethel, 28:1–22",
Genesis,,3,"Jacob works for his wives and rears a family, 29:1 to 30:43",
Genesis,,4,"Jacob’s flight from Laban, 31:1–55","B. Israel, a prince with God, 32:1 to 36:43."
Genesis,,1,"Jacob returns to Canaan, the Peniel experience, 32:1 to 33:20",
Genesis,,2,"Disgrace at Shechem, domestic troubles, 34:1 to 35:29",
Genesis,,3,"Esau’s descendants, 36:1–43","IV. Joseph, a Savior, 37:1 to 50:26. A. Joseph and his brethren, 37:1–36. B. Judah’s fall, 38:1–30. C. Joseph’s stand for principle, 39:1 to 40:23. D. Joseph becomes the savior of Egypt, 41:1–57. E. Joseph and his brethren, 42:1 to 45:28. F. Jacob goes to Egypt, 46:1 to 47:31. G. Jacob’s blessings, 48:1 to 49:33. H. The death of Jacob and of Joseph, 50:1–26."
Genesis,1,1,In the beginning,"These words remind us of the fact that everything human has a beginning. He alone who sits enthroned the sovereign Lord of time, is without beginning or end. The opening words of Scripture thus draw a striking contrast between all that is human, temporal, and finite, and that which is divine, eternal, and infinite. Reminding us of our human limitations, these words point us to Him who is ever the same, and whose years have no end (Heb. 1:10–12; Ps. 90:2, 10). Our finite minds cannot think of “the beginning” without thinking of God, for He “is the beginning” (Col. 1:18; cf. John 1:1– 3). Wisdom, and all other good things, have their beginning with Him (Ps. 111:10; James 1:17). And if we are ever again to resemble our Maker, our lives and all our plans must have a new beginning in Him (Gen. 1:26, 27; cf. John 3:5; 1 John 3:1–3). It is our privilege to enjoy the confident assurance that “he which hath begun a good work” in us “will perform it until the day of Jesus Christ” (Phil. 1:6). He is “the author and finisher of our faith” (Heb. 12:2). Let us never forget the sublime fact implicit in these words—“in the beginning God.” This first verse of Holy Writ brings into sharp focus one of the age-old controversies between Bible believing Christians on the one hand and skeptics, atheists, and various shades of materialists on the other. The latter, who seek in different ways and in different degrees to explain the universe without God, contend that matter/energy is eternal. If this be true, and if matter has the power to evolve, first into the simplest forms of life and then into the more complex, until man is reached, God is indeed unnecessary. Genesis 1:1 affirms that God is before all else and that He is the one and only cause of all else. This verse is the foundation of all right thinking in regard to the material world. Here is set forth the impressive truth that “in the formation of our world, God was not indebted to pre-existing matter” (8T 258). Pantheism, the ancient heresy that robs God of personality by diffusing Him throughout all the universe, and thus makes Him synonymous with the totality of creation, is also exposed and refuted by Gen. 1:1. There is no basis for the doctrine of pantheism when one believes that God lived serene and supreme before there was a creation and thus stands above and apart from that which He has created. No declaration could be more appropriate as an introduction to Holy Writ. At the outset the reader is introduced to an Omnipotent Being, possessed of personality, will, and purpose, who, existing before all else and thus dependent on nought else, exercised His divine will and “created the heaven and the earth.” No discussion of secondary questions regarding the mystery of a divine creation, either as to time or method, should be allowed to blur the fact that the real dividing line between a true and a false belief on the subject of God and the origin of our earth is acceptance or rejection of the truth set forth in this verse. Right here a word of caution should be said. For long centuries theologians have speculated on the word “beginning,” hoping to discover more of God’s mysterious ways than infinite wisdom has seen fit to reveal. See, for example, the discussion of the false ruin and restoration theory of creation in the Additional Note at the close of this chapter. But all speculation is idle. We know nothing of the method of creation beyond the terse Mosaic declaration, “God said,” “and it was so,” which is the mysterious and majestic overtone of the creation anthem. To set down as the basis of our reasoning that God must have done thus and so in creating the world, else nature’s laws would have been violated, is to darken counsel with words and to give aid and comfort to the skeptic, who has ever insisted that the whole Mosaic record is incredible because it allegedly violates the laws of nature. Why should we attempt to be wise above that which is written? Very particularly, nothing is gained by speculating as to when the matter constituting our planet was brought into existence. On the time aspect of the creation of our earth and all upon it, Genesis makes two statements: (1) “In the beginning God created the heaven and the earth” (v. 1). (2) “And on the seventh day God ended his work which he had made” (ch. 2:2). Related scriptures add nothing to what is set forth in these two texts regarding the time involved in creation. To the question: When did God create “the heaven and the earth”? we can only answer, “In the beginning.” And to the question: When did God complete His work? we can only answer, “On the seventh day God ended his work” (ch. 2:2), “for in six days the Lord made heaven and earth, the sea, and all that in them is, and rested the seventh day” (Ex. 20:11). These remarks regarding the creation account are made, not in an attempt to close the discussion, but as a confession that we are unprepared to speak with certainty beyond what is clearly revealed. The very fact that so much rests upon the creation record—even the whole edifice of Scripture—prompts the devout and prudent Bible student to conform his declarations to the explicit words of Holy Writ. Indeed, when the broad fields of speculation tempt him to roam afar in uncharted areas of time and space, he cannot do better than to meet the temptation with the simple rejoinder, “It is written.” There is always safety within the protecting bounds of Scriptural quotation marks. God created. The verb “to create” is from the Heb., bara’ which in the form here used describes an activity of God, never of men. God creates “the wind” (Amos 4:13), “a clean heart” (Ps. 51:10), and “new heavens and a new earth” (Isa. 65:17). The Hebrew words that we translate “to make,” ‘asah, “to form,” yaṣar, and others, frequently (but not exclusively) used in connection with human activity, imply pre-existing matter. All three words are employed in describing the creation of man. The very first words of the Bible point to the fact that the creation bears the imprint of God’s own activity. The opening page of Holy Writ makes the reader acquainted with a God to whom all things animate and inanimate owe their very existence (see Heb. 11:3). The “earth” here mentioned is manifestly not the dry land, which was not separated from the waters till the third day, but our whole planet."
Genesis,1,2,"Without form, and void","More exactly, “waste and void,” tohu wabohu. This signifies a state of wasteness and emptiness, but without implying that the earth was once perfect and then was made waste or desolate. When the words tohu wabohu appear together in other passages, such as Isa. 34:11; Jer. 4:23, they seem to be borrowed from this text, but tohu alone is frequently employed as synonymous with nonexistence, or nothingness (Isa. 40:17, 23; 49:4). Job 26:7 demonstrates the correct meaning of this word. The second half of this passage states that God “hangeth the earth upon nothing,” and the first half has the parallel “he stretcheth out the north over tuho [the emptiness].” This text in Job shows clearly the meaning of tuho in Gen. 1:2, in which this and the synonymous word bohu indicate that the earth was shapeless and lifeless. Its elements were all mingled together, completely unorganized and inanimate. Darkness was upon the face of the deep. The “deep,” from a root “to roar,” “to rage,” is frequently applied to the raging waters, the roaring waves, or the flood, and hence the depths of the sea (Ps. 42:7; Ex. 15:5; Deut. 8:7; Job 28:14; 38:16). “Deep” is an old word, and is here used like a proper name. The Babylonians, who retained some vague memory of the true creation story for many centuries, actually personified this word, tehom, and applied it in their mythology to a deity, Tiamat, out of whose corpse they believed the earth was created. The Biblical record shows that originally there was no light on earth and that the surface matter was in a fluid state, because “the face of the deep” stands parallel to “the face of the waters” in this verse. The Spirit of God moved. “Spirit,” ruach. In harmony with Scriptural usage, the Spirit of God is the Holy Spirit, the third person of the Godhead. From this place onward, throughout the whole Scripture, the Spirit of God has the role of the divine agent of God in all creative acts, whether of the earth, of nature, of the church, of the new life, or of the new man. See on v. 26 for a comment on Christ’s relationship to creation. The word here rendered “moved” is merachepheth, which cannot rightly be translated “brooded,” although it has this meaning in Syriac, a post-Biblical Aramaic dialect. The word occurs but twice elsewhere in the OT. It appears in Jer. 23:9, where it has the meaning “to tremble,” “to shake,” whereas in Deut. 32:11 it is used to describe the fluttering of an eagle over its young. The eagle does not brood over the living young but hovers watchfully and protectingly over them. The work of God’s Spirit must have some connection with the activity that was presently to be initiated, an activity bringing order out of chaos. The Spirit of God was already present, ready to act as soon as the order should be given. The Holy Spirit has always been doing this very work. This divine Agent has ever been present to assist in the work of creation and redemption, to reprove and strengthen wayward souls, to comfort the sorrowing, and to present the believer’s prayers in an acceptable form to God."
Genesis,1,3,And God said,"The record of each of the six creation days opens with this announcement. “He spake, and it was done; he commanded, and it stood fast” (Ps. 33:9), declares the psalmist, and the apostle says that we understand through faith “that the worlds were framed by the word of God” (Heb. 11:3). The phrase “God said” has offended some as making God too much like a human being. But how could the inspired writer have conveyed to finite minds the act of creation carried out by the infinite God except by using terms that mortal man can understand? The fact that the utterances of God are repeatedly connected with activities performed by God (vs. 7, 16, 21, 27) indicates convincingly that a revelation of God’s creative power is being expressed in human language. Let there be light. Without light there could be no life; and as the Creator began the work of bringing order from chaos and of introducing various forms of plant and animal life upon the earth, it was essential that there be light. Light is a visible form of energy, which by its action on plants transforms inorganic elements and compounds into food for both man and beast and controls many other natural processes necessary to life. Light has ever been a symbol of the divine presence. As physical light is essential to physical life, so divine light is necessary if rational beings are to have moral and spiritual life. “God is light” (1 John 1:5); and to those in whose hearts the work of recreating the divine likeness is going on apace, He comes again today bidding the shadows of sin, uncertainty, and discouragement flee, saying, “Let there be light.”"
Genesis,1,4,God saw,"This expression, repeated six times (vs. 10, 12, 18, 21, 25, 31), conveys in human language an activity of God—the evaluation of each single act of creation as meeting completely the plan and will of its Maker. As we, by beholding and examining the products of our efforts, are prepared to declare that they meet our plans and purpose, so God declares, after every creative act, that His products agree completely with His plan. God divided the light from the darkness. At the outset only darkness existed on this formless earth. A change took place with the entrance of light. Now darkness and light exist side by side, but separate from each other."
Genesis,1,5,Called the light Day,"Names are given to the light and the darkness. The giving of a name was always an important act in antiquity. Names had their meaning and were carefully chosen. God later commissioned Adam to give names to the animals. He sometimes changed His servants’ names to make them agree with their life experience or character. He instructed the earthly parents of His Son concerning the name they should give to the Saviour. During the creation week we find God giving names even to the lifeless products of His creative power. The evening and the morning were the first day. Literally “evening was, morning was, day one.” Thus the cryptic description of the first momentous day of God’s creation week closes. Many and diversified explanations of this statement have been given. It indicates clearly the duration of each of the seven parts of the creation week, and is repeated five more times in this chapter (vs. 8, 13, 19, 23, 31). Some have thought creative act lasted one night, from the evening to the morning; and others, that every day began with the morning, although the Inspired Record states plainly that the evening preceded the morning. Many scholars have taken this expression to mean a long, indefinite period of time, believing that some of the divine activities of the following days, as for instance the creation of the plants and animals, could not have been accomplished within a literal day. They think they find a justification for this interpretation in the words of Peter, “one day is with the Lord as a thousand years” (2 Peter 3:8). That this text cannot be used to ascertain the length of the creation days is obvious when one reads the rest of the verse, “and a thousand years as one day.” The context of Peter’s words makes it clear that he wishes to stress the timelessness of God. The Creator can do in a day the work of a thousand years, and a period of a thousand years, a long time for those waiting for God’s judgments to be fulfilled, may be considered by Him as only one day. Psalms 90:4 conveys the same thought. The literal statement “evening was [with the following hours of the night], and morning was [with the succeeding hours of the day], day one” is clearly a description of an astronomical day, that is, a day of 24 hours’ duration. It is the equivalent of the later Hebrew compound “evening-morning” of Dan. 8:14, which the KJV has translated “days,” here meaning prophetic days, and of Paul’s Greek word, nuchthemeron, translated “a night and a day” (2 Cor. 11:25). Thus the Hebrews, who were never in doubt about the meaning of this expression, began the day with sunset and ended it with the following sunset (Lev. 23:32; Deut. 16:6). Furthermore, the language of the fourth commandment leaves no shadow of doubt that the evening and morning of the creation record are the component sections of an earthly day. This commandment, referring in unmistakable words to the week of creation, declares, “For in six days the Lord made heaven and earth, the sea, and all that in them is, and rested the seventh day” (Ex. 20:11). The tenacity with which so many commentators cling to the idea that the days of creation were long periods of time, even thousands of years, largely finds its explanation in the fact that they attempt to make the inspired creation record agree with the theory of evolution. Geologists and biologists have taught men to believe that this earth’s early history covers millions of years, in which the geological formations were slowly taking shape and living species were evolving. Throughout its sacred pages the Bible contradicts this evolution theory. The belief in a divine and instantaneous creation as the result of words spoken by God stands in complete opposition to the theory held by the majority of scientists and many theologians today that the world and all upon it came into being through a slow process of evolution lasting for untold ages. Another reason why many commentators declare that the days of creation were long periods of time is that they reject the seventh-day Sabbath. A famous commentary thus expresses this thought: “The duration of the seventh day of necessity determines the length of the other six. … God’s sabbatic rest is understood by the best interpreters of Scripture to have continued from creation’s close until the present hour; so that consistency demands the previous six days to be considered as not of short, but of indefinite, duration” (Pulpit). This kind of reasoning moves in a circle. Because the seventh-day Sabbath, so clearly defined in Holy Scripture as a weekly recurring day of rest, is rejected as such, the seventh day of the creation week is declared to have lasted to the present time. On the basis of this un-Scriptural explanation the duration of all other creation days is also expanded. Sound Scriptural interpretation has no sympathy with this kind of reasoning, but insists on giving a literal meaning to the text, following the example of the divine Expounder of the Word, who parried every attack of the adversary by declaring, “It is written” (Matt. 4:4, 7, 10). The Scriptures speak clearly and plainly of seven days of creation (Ex. 20:11) and not of periods of undefined duration. We are therefore bound to declare emphatically that the first day of creation, indicated by the expression in Hebrew, “evening was, morning was, day one,” was a 24-hour day."
Genesis,1,6,A firmament,"Or, “an expanse.” The work of the second creation day consisted in the formation of the firmament. The great mass of primeval “waters” was divided into two separate bodies. The “waters which were above the firmament” (v. 7) are generally considered by commentators to be water vapor. The climatic conditions of the originally perfect earth were different from those existing today. Explorations carried out in the far north have proved that luxurious tropical forests once covered those land areas that are now buried under eternal ice and snow. It is generally conceded that pleasant climatic conditions prevailed during this earth’s early history. Unknown were the extremes of cold and heat that can make life unpleasant in most regions of the world and virtually impossible in some."
Genesis,1,8,God called the firmament Heaven,"The product of the creative power of God on the second day of the creation week received a name, even as the light of the first day had received one. In the Hebrew as well as in the modern translation the word “heaven” is the name given both to the abode of God and to the firmament. In this verse “heaven” refers to the atmospheric heavens that appear to the human eye as a canopy, or dome, vaulting our earth, and generally called sky. No life is possible without air. Plants need it as well as living creatures. Without the atmosphere our earth would be lifeless like the moon, tremendously hot in that part which is exposed to the sun and extremely cold in other sections. Not one sprout of plant life would be found anywhere, and no creature could exist for any length of time. Are we grateful for this God-given atmosphere?"
Genesis,1,9,Let the waters,"The third creative act, performed during the first part of the third day, was a separation of the water from the dry land. The inspired pen of the psalmist describes this event in the following picturesque and poetical terms: “The waters stood above the mountains. At thy rebuke they fled; at the sound of thy thunder they took to flight. The mountains rose, the valleys sank down to the place which thou didst appoint for them. Thou didst set a bound which they should not pass” (Ps. 104:6–9, RSV). The gathering of the waters into one place implies no more than that they were, from this day forward, to be collected into “one place,” and restrained within bounds in a place by themselves, so as to admit the exposure of the earth’s soil. It must have been a grand spectacle to any heavenly observer to see hills rise up out of the water that had so completely covered the face of the earth. Where there had been water only as far as the eye could see, great land areas suddenly rose up and gave to this earth an entirely new appearance."
Genesis,1,10,God saw that it was good,"God’s eye rested, now, with pleasure and satisfaction on the finished product of the third day of creation. “It was good.” That primeval dry land would scarcely have seemed good to us. It was a world of verdureless valleys and hills and plains, upheaved from beneath the waters. Nowhere was there even a blade of grass or a clinging lichen. Yet is seemed good to its Maker, who could see it in relation to the uses for which He had made it, and as a fit preparatory step to the new wonders He was going to introduce."
Genesis,1,11,Let the earth bring forth,"After the separation of dry land from the water, another divine order was given on that third day: vegetation was summoned into existence. Some have considered the first of the three terms employed in the divine command a general term for plants, including the second and the third. However, it is preferable to take them as distinct classes. Grass. Heb., deshe‘, “to be green,” “to grow green.” “to sprout.” This word designates green sprouts and tender herbs—the various kinds of plants that supply food for the animals. “Grass” is probably used here as a synonym of the word “herb,” ‘eśeb, when the latter appears without the qualifying expression “yielding seed” (see v. 30; Ps. 23:2). The herb yielding seed. “Herb,” ‘eśeb, is the more mature herbage, in which the seed is the most striking characteristic, providing one of the two kinds of food designated by God to be consumed by human beings. (v. 29). The fruit tree. Three characteristics of fruit-bearing trees are here noted: (1) the bearing of fruit, (2) the enclosing of seed within the fruit, and (3) the bearing of this fruit “upon” or above the earth. These trees were to provide man with another source of food (v. 29)."
Genesis,1,12,The earth brought forth,"The vegetation of the third day sprang from the soil. This does not mean that the power to produce life-containing plants was in the soil. The idea of spontaneous generation is as alien to Scripture as it is to science. After his kind. This expression occurs ten times in the first chapter of Genesis, and altogether 30 times in the books of Moses, especially in Gen. 1, 6, and 7; in Lev. 11; and in Deut. 14. Reference is to kinds of animals and plants, not to their reproductive behavior. It is, however, a fact of nature that living things do reproduce offspring that resemble their parents. Variations within certain limits are possible, but those limits fall far short of creating distinctly new kinds of plants and animals. See Gen. 6:20; 7:14; Lev. 11:14–16, 29; Deut. 14:13–15."
Genesis,1,13,See on v,5.
Genesis,1,14,Let there be lights,"“Lights,” me’oroth, is not the same as “light,” ’or, of vs. 3 and 4; it means sources of light, light holders, luminaries. The expression that they are set in the firmament, or expanse of heaven, is chosen because it is there that the earthly inhabitant sees them. To divide the day from the night. To regulate and continue from that time forward the difference between light and darkness, a difference that had existed ever since God decreed light on the first day. For signs. These celestial bodies marked special acts of God’s favor or displeasure as in Joshua’s (Joshua 10:12, 13), and Hezekiah’s times (2 Kings 20:11), and on the crucifixion day (Matt. 27:45). “Falling stars” served as one of the signs of Christ’s second coming (Matt. 24:29). Some have mistakenly thought that the celestial bodies were designed also to determine the individual destinies of men. Astrologers have appealed to v. 14 to justify their practice. However, the Bible so vigorously opposes any form of divination and fortunetelling that the thought has to be emphatically rejected that God appointed the sun, moon, and stars to serve astrologers as guides in predicting human affairs and destinies. Jeremiah warns the Hebrews not to be afraid of the signs of heaven, before which the heathen tremble in vain terror (Jer. 10:2); and Isaiah speaks with taunting irony against the astrologers, stargazers, and foretellers, on whose counsel it is folly and wickedness to rely (Isa. 47:13, 14). Although the superstition of reading the destiny of man in the stars never took root among the ancient Israelites, they did not have enough moral strength to resist in general the example of star worship of their pagan neighbors (Jer. 19:13; Eze. 8:16; Zeph. 1:5). For seasons. Yearly returning festival periods and other definite times were to be regulated by the movement of the celestial bodies (Ps. 104:19; Zech. 8:19). These bodies have, moreover, a definite periodic influence upon agriculture, navigation, and other human occupations, as well as upon the course of animal and vegetable life, as for instance the breeding time of animals and the migration of birds (Jer. 8:7). For days, and years. The days and years are fixed by the movement of the earth in relation to the sun, which in conjunction with that of the moon has provided men of all ages with the basis for calendars—lunar, solar, or a combination of both."
Genesis,1,15,For lights,"Not to introduce light for the first time to this world, for God decreed light on the first day, but to serve as a permanent arrangement for the distribution of light for this world."
